"","ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"8468",2349297,"HH650845","09/14/2002 08:00:00 PM","046XX W ERIE ST","0820","THEFT","$500 AND UNDER","PARKING LOT/GARAGE(NON.RESID.)","false","false","1111","011",28,25,"06",1145318,1903912,2002,"04/15/2016 08:55:02 AM",41.892334884,-87.741760937,"(41.892334884, -87.741760937)"
"8469",10471869,"HZ210652","04/02/2016 01:00:00 PM","088XX S KENWOOD AVE","0935","MOTOR VEHICLE THEFT","THEFT/RECOVERY: TRUCK,BUS,MHOME","STREET","false","false","0412","004",8,48,"07",1186668,1846480,2016,"04/09/2016 03:47:49 PM",41.733854899,-87.591721458,"(41.733854899, -87.591721458)"
"8470",4305894,"HL612207","09/14/2005 04:41:42 PM","016XX W JUNEWAY TER","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true","2422","024",49,1,"08B",1163822,1951492,2005,"04/15/2016 08:55:02 AM",42.022526417,-87.672455756,"(42.022526417, -87.672455756)"
"8471",10403186,"HZ139724","02/04/2016 01:30:00 AM","038XX S ARCHER AVE","1305","CRIMINAL DAMAGE","CRIMINAL DEFACEMENT","RESTAURANT","false","false","0911","009",12,58,"14",1159878,1878917,2016,"02/11/2016 03:47:22 PM",41.823458129,-87.688976836,"(41.823458129, -87.688976836)"
"8472",9628100,"HX279026","05/27/2014 08:32:00 PM","030XX E 87TH ST","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","SIDEWALK","true","false","0424","004",10,46,"18",1198185,1847876,2014,"02/04/2016 06:33:39 AM",41.737405567,-87.549483006,"(41.737405567, -87.549483006)"
"8473",1582957,"G346704","06/14/2001 11:31:00 PM","006XX W DIVERSEY AV","0460","BATTERY","SIMPLE","STREET","true","false","2333","019",NA,NA,"08B",1171450,1918810,2001,"08/17/2015 03:03:40 PM",41.932681276,-87.645350359,"(41.932681276, -87.645350359)"
"8474",6594361,"HP663464","10/26/2008 02:00:00 AM","028XX S SPAULDING AVE","0460","BATTERY","SIMPLE","STREET","false","false","1032","010",22,30,"08B",1154824,1885047,2008,"02/04/2016 06:33:39 AM",41.840382129,-87.707354352,"(41.840382129, -87.707354352)"
"8475",4065681,"HL413693","06/11/2005 12:46:00 PM","018XX N WESTERN AVE","0430","BATTERY","AGGRAVATED: OTHER DANG WEAPON","STREET","false","false","1434","014",1,22,"04B",1160071,1912308,2005,"04/15/2016 08:55:02 AM",41.915082281,-87.687346933,"(41.915082281, -87.687346933)"
"8476",6835092,"HR243034","03/30/2009 03:03:00 PM","051XX W WAVELAND AVE","2820","OTHER OFFENSE","TELEPHONE THREAT","RESIDENCE","false","false","1634","016",38,15,"26",1141408,1924115,2009,"02/04/2016 06:33:39 AM",41.947847154,-87.755621073,"(41.947847154, -87.755621073)"
"8477",8272843,"HT506965","09/21/2011 03:30:00 AM","011XX N MASON AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false","1511","015",29,25,"14",1136486,1907072,2011,"02/04/2016 06:33:39 AM",41.90116884,-87.774122029,"(41.90116884, -87.774122029)"
"8478",6069170,"HP169244","02/10/2008 05:49:00 PM","043XX N MARMORA AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","true","false","1624","016",38,15,"07",1136234,1928273,2008,"02/04/2016 06:33:39 AM",41.959351244,-87.774540134,"(41.959351244, -87.774540134)"
"8479",1408824,"G124193","03/03/2001 04:30:00 PM","063XX S HONORE ST","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE","false","false","0726","007",NA,NA,"05",1165067,1862368,2001,"08/17/2015 03:03:40 PM",41.777937325,-87.670408512,"(41.777937325, -87.670408512)"
